[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 14]), ('unroll_kw', True)],direct,None,73
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 14]), ('unroll_kw', True)],direct,None,74
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 14]), ('unroll_kw', True)],direct,None,75
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 14]), ('unroll_kw', True)],direct,None,76
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 14]), ('unroll_kw', True)],direct,None,77
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 14]), ('unroll_kw', True)],direct,None,78
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 14]), ('unroll_kw', True)],direct,None,79
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 14]), ('unroll_kw', True)],direct,None,80
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 14]), ('unroll_kw', True)],direct,None,81
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 14]), ('unroll_kw', True)],direct,None,82
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 14]), ('unroll_kw', True)],direct,None,83
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,84
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,85
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,86
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,87
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,88
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,89
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,90
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,91
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,92
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,93
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,94
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,95
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,96
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 16]), ('unroll_kw', True)],direct,None,97
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,98
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,99
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,100
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 28]), ('unroll_kw', True)],direct,None,101
