[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,77
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,78
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,79
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,80
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,81
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,82
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,83
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,84
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,85
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,86
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,87
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,88
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,89
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,90
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,91
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,92
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,93
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,94
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,95
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,96
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,97
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,98
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,99
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,100
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,101
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,102
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,103
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,104
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,105
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,106
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,107
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,108
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,109
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,110
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,111
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,112
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,113
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,114
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,115
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,116
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,117
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,118
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,119
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,120
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,121
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,122
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,123
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,124
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,125
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,126
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,127
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,128
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,129
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,130
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,131
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,132
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,133
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,134
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,135
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,136
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,137
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,138
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,139
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,140
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,141
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,142
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,143
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,144
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 4]), ('tile_oh', 1)],direct,None,145
